acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,decade
0.732,['Leonard Cohen'],0.45799999999999996,360413,0.16,0,7zV4xzK0AnmysCE0N58EaT,3.84e-05,3,0.147,-14.835999999999999,1,Last Year's Man,37,3/19/1971,0.0376,133.555,0.153,1971,1970.0
0.00677,['The Who'],0.38799999999999996,393960,0.889,0,2gRLTKBMWx4i77eSnQvI1i,0.000233,0,0.0904,-5.686,1,Getting In Tune - New York Record Plant Session 2003 Remix,32,8/14/1971,0.0814,160.719,0.5920000000000001,1971,1970.0
0.0274,['The Beach Boys'],0.51,151933,0.212,0,4sRVY84sduxcqn0JsTMqrC,4.270000000000001e-05,6,0.0777,-14.491,1,Take A Load Off Your Feet - Remastered 2009,30,8/30/1971,0.0668,206.088,0.447,1971,1970.0
0.9390000000000001,"['Riz Ortolani', 'Katyna Ranieri']",0.22,171853,0.358,0,0AfjmTmBHxNoXRZwSurBRC,0.00013000000000000002,0,0.0987,-6.83,1,Oh My Love - Main Theme,34,1971,0.0289,100.976,0.146,1971,1970.0
0.14,"['Paul McCartney', 'Linda McCartney']",0.579,154960,0.614,0,3wRuLfMkjac3piyaPFoKBH,0.92,2,0.151,-10.866,1,Great Cock And Seagull Race (Dixon Van Winkle Mix) - 2012 Master,32,5/17/1971,0.0364,119.59700000000001,0.664,1971,1970.0
0.838,['The Allman Brothers Band'],0.512,175440,0.5579999999999999,0,0EegzQ3DDZZmYdyIu1cDaH,0.35700000000000004,7,0.08199999999999999,-10.322000000000001,1,"Midnight Rider - Live At The Final Fillmore East Concert, 1971",28,7/1/1971,0.0282,96.035,0.5660000000000001,1971,1970.0
0.732,['Allen Toussaint'],0.68,198413,0.41100000000000003,0,1tgc1TOjgDSE36kywO7oEN,0.777,9,0.0981,-15.512,1,Cast Your Fate To The Wind,35,1971,0.0405,100.073,0.46799999999999997,1971,1970.0
0.972,['Michael Hurley'],0.428,273147,0.152,0,4ZjRK0iX5CTe11KbDRymCT,8.43e-06,9,0.192,-14.262,0,Werewolf,30,9/1/1971,0.0358,114.73299999999999,0.281,1971,1970.0
0.0066099999999999996,['Mountain'],0.33399999999999996,352427,0.642,0,1bYeGuZ53iXJISeE4po2bi,0.0895,4,0.141,-11.648,0,Nantucket Sleighride (To Owen Coffin),31,1971,0.035,149.6,0.491,1971,1970.0
0.21899999999999997,['The Rolling Stones'],0.633,228667,0.934,0,1ibeJPfM8Q3LccjV6oI6S1,0.00021,0,0.0592,-3.594,1,Brown Sugar - 2009 Mix,34,4/23/1971,0.0344,128.606,0.963,1971,1970.0
