decade,year,artists,name,genres,duration_ms,artist_song,release_date,valence,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,id
2020,2020,SuicideBoyS,All Dogs Go To Heaven,"dark trap, new orleans rap, underground hip hop",153652,SuicideBoyS - All Dogs Go To Heaven,2020-02-14,0.8390000000000001,0.27399999999999997,0.884,0.903,1,0.00037200000000000004,6,0.302,-3.6719999999999997,0,68,0.2,75.02199999999998,3ljehcUqmUI7BHXpQZnwbh
2020,2020,"Lil Tecca, Internet Money",Out Of Love (feat. Internet Money),,153627,"Lil Tecca, Internet Money - Out Of Love (feat. Internet Money)",2020-09-18,0.358,0.0847,0.732,0.636,1,0.0,7,0.24100000000000002,-6.162000000000001,0,73,0.0497,138.061,0IJA9KP6rT55jrP1YpTdhx
2020,2020,Sheff G,"No Suburban, Pt. 2","brooklyn drill, new york drill, nyc rap",153561,"Sheff G - No Suburban, Pt. 2",2020-05-15,0.616,0.47600000000000003,0.85,0.45799999999999996,1,0.0,8,0.26,-7.82,1,69,0.33899999999999997,143.97299999999996,3VayB5gLZGODx8b7RO1y5f
2020,2020,ROLE MODEL,blind,"alternative r&b, bedroom pop, indie cafe pop, indie pop, pop",153293,ROLE MODEL - blind,2020-10-21,0.6859999999999999,0.141,0.765,0.6629999999999999,0,0.000297,0,0.0924,-5.223,1,71,0.0652,150.091,0NuWgxEp51CutD2pJoF4OM
2020,2020,"The Kid LAROI, YoungBoy Never Broke Again, Internet Money",TRAGIC (feat. Youngboy Never Broke Again & Internet Money),,153147,"The Kid LAROI, YoungBoy Never Broke Again, Internet Money - TRAGIC (feat. Youngboy Never Broke Again & Internet Money)",2020-11-06,0.38799999999999996,0.0383,0.779,0.642,1,0.0,8,0.2,-6.3210000000000015,0,80,0.11599999999999999,82.363,13EW51DKru044OJDJ9Bm8o
2020,2020,"Ty Dolla Sign, Kid Cudi",Temptations (feat. Kid Cudi),,153126,"Ty Dolla Sign, Kid Cudi - Temptations (feat. Kid Cudi)",2020-10-23,0.7240000000000001,0.0266,0.624,0.7929999999999999,1,0.0,11,0.578,-5.711,0,67,0.0413,81.531,0SKbj3NTkGFS76OkFmAw0u
2020,2020,Halsey,More,"dance pop, electropop, etherpop, indie poptimism, pop, pop dance, post-teen pop",153089,Halsey - More,2020-11-20,0.171,0.635,0.38799999999999996,0.22399999999999998,0,0.0,11,0.0836,-11.19,1,37,0.12300000000000001,171.835,6o1e4HeRhNBJSiCf7DzXve
2020,2020,Sam Smith,Young,"pop, uk pop",153028,Sam Smith - Young,2020-10-30,0.406,0.6509999999999999,0.657,0.19,0,0.0,3,0.32799999999999996,-9.046,1,72,0.3670000000000001,118.421,1VCD7bvSOjhJYBcOzQguik
2020,2020,Sam Smith,Young,"pop, uk pop",153028,Sam Smith - Young,2020-11-24,0.406,0.6509999999999999,0.657,0.19,0,0.0,3,0.32799999999999996,-9.046,1,4,0.3670000000000001,118.421,1xJhFslNnDewlMzr36JdOr
2020,2020,Trippie Redd,Weeeeee,"melodic rap, rap, trap",152920,Trippie Redd - Weeeeee,2020-10-30,0.152,0.111,0.7290000000000001,0.503,1,0.0,0,0.12300000000000001,-8.229,1,75,0.081,134.92700000000002,2PI3qpTqYowwMzOSQRuj73
2020,2020,Trippie Redd,Weeeeee,"melodic rap, rap, trap",152920,Trippie Redd - Weeeeee,2020-10-31,0.152,0.111,0.7290000000000001,0.503,1,0.0,0,0.12300000000000001,-8.229,1,71,0.081,134.92700000000002,1plyOk5XeAODoIcAgPhbtc
2020,2020,YoungBoy Never Broke Again,Chopper City,"baton rouge rap, trap",152607,YoungBoy Never Broke Again - Chopper City,2020-11-13,0.7070000000000001,0.0507,0.598,0.773,1,0.0,5,0.133,-5.624,0,65,0.426,80.777,1i3Ngjz77ce8CfhIjr1B7C
2020,2020,Kelsea Ballerini,hole in the bottle - ballerini album version,"contemporary country, pop",152440,Kelsea Ballerini - hole in the bottle - ballerini album version,2020-09-11,0.594,0.504,0.672,0.552,0,0.0,4,0.0636,-6.375,1,67,0.0316,105.02,1f6BZccfonUYohfGJIeBR1
2020,2020,Florida Georgia Line,Long Live,"contemporary country, country, country pop, country road, modern country rock",152373,Florida Georgia Line - Long Live,2020-09-10,0.596,0.185,0.612,0.8420000000000001,0,0.0,7,0.151,-3.5469999999999997,1,71,0.0372,129.97299999999998,1OTX8FOeKJt1v9mIxuF8sc
2020,2020,Big Sean,Why Would I Stop?,"detroit hip hop, hip hop, pop rap, rap, southern hip hop, trap",152263,Big Sean - Why Would I Stop?,2020-09-04,0.218,0.0212,0.778,0.727,1,0.0,1,0.10099999999999999,-6.115,0,66,0.0837,119.97200000000001,46hDiH4YvAWXE04GskkIHS
2020,2020,"MOD SUN, Machine Gun Kelly, Goody Grace",Stay Away (feat. Machine Gun Kelly & Goody Grace),,151891,"MOD SUN, Machine Gun Kelly, Goody Grace - Stay Away (feat. Machine Gun Kelly & Goody Grace)",2020-04-24,0.152,0.022000000000000002,0.667,0.636,1,0.0,8,0.0908,-5.669,1,67,0.08199999999999999,158.058,00okrW9OfjmG0PZJSY3fJd
2020,2020,Clyde Boudreaux,Nepenthe,background music,151750,Clyde Boudreaux - Nepenthe,2020-01-31,0.0495,0.993,0.133,0.00512,0,0.851,9,0.0954,-33.295,1,70,0.038,67.818,0kKOC50fPTnqmrYvtJInsT
