acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
63.8,45.6,29.6,3.43,10.8,23.2802692,3.87,73.0651541,42.7
89.5,30.7,22.7,0,11.3,28.0948683,3.82,47.9043094,16.7
28.8,52.4,41.9,78.6,63.1,22.8887595,6.7,44.8648988,58.9
94,40.7,46.8,82.5,12.6,17.0808257,3.74,57.8019632,53.5
99.6,41.8,0.637,92.4,7.59,58.8785349,4.65,29.1060926,35.6
89.6,46.7,19.7,49,11.2,27.7599819,3.56,48.9524687,8.92
62.3,70.1,40.9,0,30,20.8050217,3.94,52.9454363,96.2
75.7,59.5,65.3,0,10.5,16.3884035,4.08,34.664183,88.4
70.9,52.3,20.5,0,16.8,19.701676,12,73.4757948,46.3
93.9,57.1,5.44,1.1,11.7,32.9838866,4.77,58.4214822,24.7
67.5,57.7,36.4,8.37E-03,8.52,16.7410859,3.01,48.2743465,88.7
58.9,45.9,16.7,0.187,10.4,25.7458099,4.01,76.1644237,19.6
61.9,56.3,50.9,0,21,18.9558662,4.65,53.0496662,94.4
3.52,60,75.1,2.09E-03,6.18,8.2103799,6.06,46.3961154,64.1
84.1,35.2,21.4,28.4,24.3,28.3553355,2.85,24.2930995,10.1
55.4,35.9,38.2,69.3,16.2,20.9215039,2.91,42.1498985,43.9
90.5,27.1,17.5,0,25.1,26.4139649,3.48,46.4283472,19
88.9,76,56.7,88.1,7.61,21.7676179,3.72,38.1163273,96.1
99.4,55.3,35.8,20.9,30.2,22.9000841,3.65,45.4948827,79
86.5,35.4,24.7,4.90E-04,32.1,24.6068725,3.2,43.1687561,44.2
70,39,36.4,0,33.3,23.7542872,7.21,76.5319492,82
85.1,70.1,12.4,64.2,8.25,35.7098945,4.74,42.2570585,46.6
60.7,56.7,19.1,18.5,7.4,36.196855,3.19,40.0858118,30.6
86.5,20.2,11.1,0.374,20.5,31.6297806,3.21,35.1371942,9.37
84.2,75.6,56.5,2.02E-03,6.72,16.3609008,2.65,39.2712279,96.8
53.6,75.9,45.1,10.2,15.2,14.5473371,4.02,50.3476423,83.6
64.4,72.8,49.8,1.33,8.69,14.2124507,4.56,73.866343,96.2
83.3,21.4,22.4,4.39,14.8,23.9775448,3.39,27.8884029,7.46
93.2,41.7,21.2,2.63E-04,8.83,25.6422701,3,48.0164926,35.3
79.6,69.8,74.8,0,27.6,13.465023,5.28,36.7676176,75.8
74.4,71.4,19.1,0,17.3,23.6264803,6.46,52.150945,55.5
51.6,56.3,17.9,8.92,9.94,37.6383227,6.02,30.5431256,42.3
60.6,63.8,93.8,81,4.87,19.1257361,7.56,40.6165889,52.4
35.5,71,72.3,2.95E-04,12.4,13.9568369,3.16,50.3476423,97.7
55.1,63.2,46.8,1.48E-04,26.1,17.6292629,12.6,68.9759099,87
79.1,16,24.8,65.5,9.04,24.8495438,3.29,78.150652,26
89.7,19.1,16.4,0.184,24.1,27.826312,3.42,34.5427908,13.2
60.7,30.2,53.6,0,80.6,21.5152398,6.52,73.3849599,79.8
24.4,39.4,61.8,10.1,11,15.631269,3.65,26.5949476,57.9
81.1,17.1,25.5,90.6,18.4,24.6262862,3.27,78.0593985,29.2
58.7,51.2,34.6,9.50E-03,57,24.9724972,2.91,35.7516901,43.9
89.9,39.5,31.4,0,17.6,18.779525,2.92,44.5961615,39.1
82.3,44.4,31.2,0,8.24,24.6715848,6.22,79.0661169,82.2
76.9,55.9,39.5,2.04E-03,17.2,15.2397593,4.56,49.8704452,66.8
81.6,57.9,42.3,0,8.59,20.3407105,3.55,63.112246,81.5
89.7,23.9,11.8,6.24E-03,19.7,27.8036627,3.32,30.2270872,10.5
91.1,30.3,14.4,1.25E-03,33.6,26.9219569,3.27,46.6656899,15.8
6.04,54.9,91.8,4.09E-04,32.8,9.1114994,7.31,49.9993721,92.6
87.3,71.1,41.9,74.1,24.8,18.8976251,2.88,45.5949266,74.9
74.8,44.1,29,0,36.2,23.3854268,3.94,55.1660771,46
40.8,48.5,80.3,30.9,24.2,19.0691128,6.07,38.3176709,91.1
79.4,19,2.81,56.1,15.4,50.5484372,4.01,55.9069884,6.59
33.2,49.1,76.6,5.37E-04,44.8,20.2161393,4.32,69.3187384,90.4
28.8,54,62,0,10.7,14.9517893,3.19,55.3272358,48.3
84.8,61.3,40.4,0,9.96,23.4873487,3.8,47.9683543,85.3
59.8,54.2,37,0,16,16.1554391,3.1,47.9934699,72
73,47.7,19.8,0,11,29.9019608,9.44,68.4836434,36.4
91.5,60.3,60.6,1.98E-03,11.1,17.0258202,7.43,31.458172,78.3
82.7,49.1,36.9,6.33E-03,14.5,20.9668026,2.9,43.5337701,42.8
78.8,33.7,32,93.1,9.07,21.6026014,2.68,39.725821,35.2
51,63.7,53.1,0,7.19,20.285705,4.44,40.8455598,89
52.7,68.2,42.4,0,12.9,24.9708794,4.64,29.4966408,68.8
80.5,47.7,63.6,0,17.6,12.1400375,3.48,32.6147471,39.3
94.6,56.9,56.3,0,73.9,29.8145991,90.3,38.7320789,21.9
84.6,56.8,43.6,5.68,15.9,25.4950495,4.12,39.3218778,57.7
89.5,57.7,18.7,0,11.6,22.5894648,4.03,22.3918458,53.3
46.4,46.5,41.5,70.2,9.54,19.9702323,3.13,50.4259193,62.6
89.4,49.3,28.8,0.0364,17.7,31.1848832,4.51,45.1972624,65.1
94.3,60.2,49.4,0.528,11.1,20.1109817,2.98,47.6581762,78.9
78.5,45.9,24.7,0,15.4,23.8092927,3.17,46.4136964,56.5
45.6,47,71.5,0.0117,42.3,22.51181,8.48,77.5349003,96.2
59.3,55.6,39.5,5.40E-03,26.6,21.6883453,2.67,40.3704556,68.1
66.8,45.5,55,1.25E-03,17.1,17.9625315,3.72,33.8537851,55.7
96.9,26.2,11.9,89.9,11,31.5488902,3.6,33.1865464,17.3
80.8,42.1,22.9,1.80E-04,32.6,18.8151168,3.31,47.9373783,22
17.8,39.2,47.3,2.1,19,19.2163334,3.38,47.6259445,76.9
4.11,77.1,74.1,85.3,14.9,21.3955219,3.38,47.0080998,57.3
55.6,57.2,60.8,4.00E-04,31.9,19.8246295,15.3,57.054773,89.7
86.7,20.4,19.8,0.0392,7.37,25.3543001,3.02,38.0510266,16.4
90.3,36.1,17.4,7.31E-03,9.97,29.9407882,2.97,38.9087256,29.1
87.8,34.3,21.7,0.514,8.02,29.8696046,3.06,30.11909,27.7
86.3,46.2,39.9,7.96E-03,14.8,17.5985246,4.09,45.3630256,30.1
84.2,77.6,15.7,1.49E-03,9.27,24.6295218,5.97,60.8053747,77.7
78.3,87.6,20.9,4.33E-04,4.86,23.0084773,7.78,52.0329015,66.1
79.4,70.9,69.5,2.98E-04,25.8,16.9287517,23.5,33.8881098,78.5
76.4,66.9,17.2,0,12.8,24.0843202,32.7,40.6366814,33.3
97.3,31.7,14.5,41.9,13.7,33.8510322,4.13,60.9430922,36.4
95.8,42.8,5.17,93,10.2,37.703035,3.84,46.0675192,6.53
32.1,58.2,65.4,18,19.9,19.3457581,3.14,45.0411269,89.8
97.6,53,5.52,21.8,14.1,28.5300589,3.88,53.7717407,18.4
69.2,39,43.7,2.36E-04,12.7,24.7443862,3.66,53.0563637,50.3
85.6,36.8,1.92,0,9.61,46.8032097,3.46,32.4255426,24.8
1,30.9,46.6,0,46.5,26.5611855,3.13,43.2277779,48
83.9,58.9,31.4,10.4,54.3,24.8608684,3.67,37.8601478,60
61.7,66.6,36.3,0,16.6,21.3291917,4.03,50.9868352,95.1
